calendar_quarter,company,fiscal_period_end,capex_usd,ocf_usd,fcf_usd,capex_to_ocf_ratio
2019Q4,ORCL,2019-11-30,349000000,513000000,164000000,0.6803
2020Q1,AMZN,2020-03-31,6795000000,3064000000,-3731000000,2.2177
2020Q1,GOOGL,2020-03-31,6005000000,11451000000,5446000000,0.5244
2020Q1,META,2020-03-31,3558000000,11001000000,7443000000,0.3234
2020Q1,MSFT,2020-03-31,3767000000,17504000000,13737000000,0.2152
2020Q1,ORCL,2020-02-29,396000000,3012000000,2616000000,0.1315
2020Q2,AMZN,2020-06-30,7459000000,20606000000,13147000000,0.362
2020Q2,GOOGL,2020-06-30,5391000000,13993000000,8602000000,0.3853
2020Q2,META,2020-06-30,3255000000,3877000000,622000000,0.8396
2020Q2,MSFT,2020-06-30,4744000000,18673000000,13929000000,0.2541
2020Q2,ORCL,2020-05-31,433000000,3614000000,3181000000,0.1198
2020Q3,AMZN,2020-09-30,11063000000,11964000000,901000000,0.9247
2020Q3,GOOGL,2020-09-30,5406000000,17003000000,11597000000,0.3179
2020Q3,META,2020-09-30,3689000000,9829000000,6140000000,0.3753
2020Q3,MSFT,2020-09-30,4907000000,19335000000,14428000000,0.2538
2020Q3,ORCL,2020-08-31,436000000,5953000000,5517000000,0.0732
2020Q4,AMZN,2020-12-31,14823000000,30431000000,15608000000,0.4871
2020Q4,GOOGL,2020-12-31,5479000000,22677000000,17198000000,0.2416
2020Q4,META,2020-12-31,48000000,14040000000,13992000000,0.0034
2020Q4,MSFT,2020-12-31,4174000000,12516000000,8342000000,0.3335
2020Q4,ORCL,2020-11-30,568000000,1388000000,820000000,0.4092
2021Q1,AMZN,2021-03-31,12082000000,4213000000,-7869000000,2.8678
2021Q1,GOOGL,2021-03-31,5942000000,19289000000,13347000000,0.3081
2021Q1,META,2021-03-31,31000000,12242000000,12211000000,0.0025
2021Q1,MSFT,2021-03-31,5089000000,22179000000,17090000000,0.2295
2021Q1,ORCL,2021-02-28,414000000,3704000000,3290000000,0.1118
2021Q2,AMZN,2021-06-30,14288000000,12715000000,-1573000000,1.1237
2021Q2,GOOGL,2021-06-30,5496000000,21890000000,16394000000,0.2511
2021Q2,META,2021-06-30,60000000,13247000000,13187000000,0.0045
2021Q2,MSFT,2021-06-30,6452000000,22710000000,16258000000,0.2841
2021Q2,ORCL,2021-05-31,717000000,4842000000,4125000000,0.1481
2021Q3,AMZN,2021-09-30,15748000000,7313000000,-8435000000,2.1534
2021Q3,GOOGL,2021-09-30,6819000000,25539000000,18720000000,0.267
2021Q3,META,2021-09-30,92000000,14090000000,13998000000,0.0065
2021Q3,MSFT,2021-09-30,5810000000,24540000000,18730000000,0.2368
2021Q3,ORCL,2021-08-31,1062000000,5391000000,4329000000,0.197
2021Q4,AMZN,2021-12-31,18935000000,22086000000,3151000000,0.8573
2021Q4,GOOGL,2021-12-31,6383000000,24934000000,18551000000,0.256
2021Q4,META,2021-12-31,123000000,18104000000,17981000000,0.0068
2021Q4,MSFT,2021-12-31,5865000000,14480000000,8615000000,0.405
2021Q4,ORCL,2021-11-30,925000000,-3682000000,-4607000000,-0.2512
2022Q1,AMZN,2022-03-31,14951000000,-2790000000,-17741000000,-5.3588
2022Q1,GOOGL,2022-03-31,9786000000,25106000000,15320000000,0.3898
2022Q1,META,2022-03-31,5441000000,14076000000,8635000000,0.3865
2022Q1,MSFT,2022-03-31,5340000000,25386000000,20046000000,0.2104
2022Q1,ORCL,2022-02-28,1101000000,3845000000,2744000000,0.2863
2022Q2,AMZN,2022-06-30,15724000000,8965000000,-6759000000,1.7539
2022Q2,GOOGL,2022-06-30,6828000000,19422000000,12594000000,0.3516
2022Q2,META,2022-06-30,7572000000,12196000000,4624000000,0.6209
2022Q2,MSFT,2022-06-30,6871000000,24629000000,17758000000,0.279
2022Q2,ORCL,2022-05-31,1423000000,3985000000,2562000000,0.3571
2022Q3,AMZN,2022-09-30,16378000000,11404000000,-4974000000,1.4362
2022Q3,GOOGL,2022-09-30,7276000000,23353000000,16077000000,0.3116
2022Q3,META,2022-09-30,9375000000,9692000000,317000000,0.9673
2022Q3,MSFT,2022-09-30,6283000000,23198000000,16915000000,0.2708
2022Q3,ORCL,2022-08-31,1719000000,6394000000,4675000000,0.2688
2022Q4,AMZN,2022-12-31,16592000000,29173000000,12581000000,0.5687
2022Q4,GOOGL,2022-12-31,7595000000,23614000000,16019000000,0.3216
2022Q4,MSFT,2022-12-31,6274000000,11173000000,4899000000,0.5615
2022Q4,ORCL,2022-11-30,2435000000,849000000,-1586000000,2.8681
2023Q1,AMZN,2023-03-31,14207000000,4788000000,-9419000000,2.9672
2023Q1,GOOGL,2023-03-31,6289000000,23509000000,17220000000,0.2675
2023Q1,MSFT,2023-03-31,6607000000,24441000000,17834000000,0.2703
2023Q1,ORCL,2023-02-28,2628000000,4275000000,1647000000,0.6147
2023Q2,AMZN,2023-06-30,11455000000,16476000000,5021000000,0.6953
2023Q2,GOOGL,2023-06-30,6888000000,28666000000,21778000000,0.2403
2023Q2,MSFT,2023-06-30,8943000000,28770000000,19827000000,0.3108
2023Q2,ORCL,2023-05-31,1913000000,5647000000,3734000000,0.3388
2023Q3,AMZN,2023-09-30,12479000000,21217000000,8738000000,0.5882
2023Q3,GOOGL,2023-09-30,8055000000,30656000000,22601000000,0.2628
2023Q3,MSFT,2023-09-30,9917000000,30583000000,20666000000,0.3243
2023Q3,ORCL,2023-08-31,1314000000,6974000000,5660000000,0.1884
