request_year,n_requests,capacity_gw
2000,304,127.61
2001,528,167.09
2002,276,59.98
2003,326,61.27
2004,318,59.18
2005,516,90.2
2006,760,161.41
2007,1125,274.06
2008,1228,264.24
2009,857,108.78
2010,1266,120.0
2011,1000,125.51
2012,592,90.31
2013,687,84.71
2014,943,126.92
2015,1145,148.62
2016,1669,213.25
2017,1866,244.12
2018,2044,319.13
2019,2329,364.25
2020,2569,380.01
2021,3135,577.74
2022,3435,681.9
2023,3400,860.94
2024,2603,536.73
2025,2323,549.99
